PX_CD,PX_HSDW_SHORT_DESC,PX_HSDW_LONG_DESC
43267,endo cholangiopancreatograph,endoscopic retrograde cholangiopancreatography (ercp); with endoscopic retrograde insertion of nasobiliary or nasopancreatic drainage tube
43268,endo cholangiopancreatograph,endoscopic retrograde cholangiopancreatography (ercp); with endoscopic retrograde insertion of tube or stent into bile or pancreatic duct
43269,endo cholangiopancreatograph,endoscopic retrograde cholangiopancreatography (ercp); with endoscopic retrograde removal of foreign body and/or change of tube or stent
43271,endo cholangiopancreatograph,"endoscopic retrograde cholangiopancreatography (ercp); with endoscopic retrograde balloon dilation of ampulla, biliary and/or pancreatic duct(s)"
43272,endo cholangiopancreatograph,"endoscopic retrograde cholangiopancreatography (ercp); with ablation of tumor(s), polyp(s), or other lesion(s) not amenable to removal by hot biopsy forceps, bipolar cautery or snare technique"
43273,endoscopic pancreatoscopy,endoscopic cannulation of papilla with direct visualization of common bile duct(s) and/or pancreatic duct(s) (list separately in addition to code(s) for primary procedure)
43279,"lap myotomy, heller","laparoscopy, surgical, esophagomyotomy (heller type), with fundoplasty, when performed"
43280,"laparoscopy, fundoplasty","laparoscopy, surgical, esophagogastric fundoplasty (eg, nissen, toupet procedures)"
43289,"laparoscope proc, esoph","unlisted laparoscopy procedure, esophagus"
43300,repair of esophagus,"esophagoplasty (plastic repair or reconstruction), cervical approach; without repair of tracheoesophageal fistula"
43305,repair esophagus and fistula,"esophagoplasty (plastic repair or reconstruction), cervical approach; with repair of tracheoesophageal fistula"
43310,repair of esophagus,"esophagoplasty (plastic repair or reconstruction), thoracic approach; without repair of tracheoesophageal fistula"
43312,repair esophagus and fistula,"esophagoplasty (plastic repair or reconstruction), thoracic approach; with repair of tracheoesophageal fistula"
43313,esophagoplasty congenital,"esophagoplasty for congenital defect (plastic repair or reconstruction), thoracic approach; without repair of congenital tracheoesophageal fistula"
43314,tracheo-esophagoplasty cong,"esophagoplasty for congenital defect (plastic repair or reconstruction), thoracic approach; with repair of congenital tracheoesophageal fistula"
43320,fuse esophagus & stomach,"esophagogastrostomy (cardioplasty), with or without vagotomy and pyloroplasty, transabdominal or transthoracic approach"
43324,revise esophagus & stomach,"esophagogastric fundoplasty (eg, nissen, belsey iv, hill procedures)"
43325,revise esophagus & stomach,esophagogastric fundoplasty; with fundic patch (thal-nissen procedure)
43326,revise esophagus & stomach,"esophagogastric fundoplasty; with gastroplasty (eg, collis)"
43330,repair of esophagus,esophagomyotomy (heller type); abdominal approach
43331,repair of esophagus,esophagomyotomy (heller type); thoracic approach
43340,fuse esophagus & intestine,esophagojejunostomy (without total gastrectomy); abdominal approach
43341,fuse esophagus & intestine,esophagojejunostomy (without total gastrectomy); thoracic approach
43350,"surgical opening, esophagus","esophagostomy, fistulization of esophagus, external; abdominal approach"
43351,"surgical opening, esophagus","esophagostomy, fistulization of esophagus, external; thoracic approach"
43352,"surgical opening, esophagus","esophagostomy, fistulization of esophagus, external; cervical approach"
43360,gastrointestinal repair,"gastrointestinal reconstruction for previous esophagectomy, for obstructing esophageal lesion or fistula, or for previous esophageal exclusion; with stomach, with or without pyloroplasty"
43361,gastrointestinal repair,"gastrointestinal reconstruction for previous esophagectomy, for obstructing esophageal lesion or fistula, or for previous esophageal exclusion; with colon interposition or small intestine reconstruction, including intestine mobilization, preparation, and anastomosis(es)"
43400,ligate esophagus veins,"ligation, direct, esophageal varices"
43401,esophagus surgery for veins,"transection of esophagus with repair, for esophageal varices"
43405,ligate/staple esophagus,ligation or stapling at gastroesophageal junction for pre-existing esophageal perforation
43410,repair esophagus wound,suture of esophageal wound or injury; cervical approach
43415,repair esophagus wound,suture of esophageal wound or injury; transthoracic or transabdominal approach
43420,repair esophagus opening,closure of esophagostomy or fistula; cervical approach
43425,repair esophagus opening,closure of esophagostomy or fistula; transthoracic or transabdominal approach
43450,dilate esophagus,"dilation of esophagus, by unguided sound or bougie, single or multiple passes"
43453,dilate esophagus,"dilation of esophagus, over guide wire"
43456,dilate esophagus,"dilation of esophagus, by balloon or dilator, retrograde"
43458,dilate esophagus,dilation of esophagus with balloon (30 mm diameter or larger) for achalasia
43460,pressure treatment esophagus,"esophagogastric tamponade, with balloon (sengstaken type)"
43496,"free jejunum flap, microvasc",free jejunum transfer with microvascular anastomosis
43499,esophagus surgery procedure,"unlisted procedure, esophagus"
43500,surgical opening of stomach,gastrotomy; with exploration or foreign body removal
43501,surgical repair of stomach,gastrotomy; with suture repair of bleeding ulcer
43502,surgical repair of stomach,"gastrotomy; with suture repair of pre-existing esophagogastric laceration (eg, mallory-weiss)"
43510,surgical opening of stomach,"gastrotomy; with esophageal dilation and insertion of permanent intraluminal tube (eg, celestin or mousseaux-barbin)"
43520,incision of pyloric muscle,"pyloromyotomy, cutting of pyloric muscle (fredet-ramstedt type operation)"
43600,biopsy of stomach,"biopsy of stomach; by capsule, tube, peroral (one or more specimens)"
43605,biopsy of stomach,biopsy of stomach; by laparotomy
43610,excision of stomach lesion,"excision, local; ulcer or benign tumor of stomach"
43611,excision of stomach lesion,"excision, local; malignant tumor of stomach"
43620,removal of stomach,"gastrectomy, total; with esophagoenterostomy"
43621,removal of stomach,"gastrectomy, total; with roux-en-y reconstruction"
43622,removal of stomach,"gastrectomy, total; with formation of intestinal pouch, any type"
43631,"removal of stomach, partial","gastrectomy, partial, distal; with gastroduodenostomy"
43632,"removal of stomach, partial","gastrectomy, partial, distal; with gastrojejunostomy"
43633,"removal of stomach, partial","gastrectomy, partial, distal; with roux-en-y reconstruction"
43634,"removal of stomach, partial","gastrectomy, partial, distal; with formation of intestinal pouch"
43635,"removal of stomach, partial",vagotomy when performed with partial distal gastrectomy (list separately in addition to code[s] for primary procedure)
43638,"remove stomach, partial w/vagotomy","gastrectomy, partial, proximal, thoracic or abdominal approach including esophagogastrostomy, with vagotomy;"
43639,"remove stomach, partial w/vagotomy","gastrectomy, partial, proximal, thoracic or abdominal approach including esophagogastrostomy, with vagotomy; with pyloroplasty or pyloromyotomy"
43640,vagotomy & pylorus repair,"vagotomy including pyloroplasty, with or without gastrostomy; truncal or selective"
43641,vagotomy & pylorus repair,"vagotomy including pyloroplasty, with or without gastrostomy; parietal cell (highly selective)"
43644,lap gastric bypass/roux-en-y,"laparoscopy, surgical, gastric restrictive procedure; with gastric bypass and roux-en-y gastroenterostomy (roux limb 150 cm or less)"
43645,lap gastr bypass incl smll i,"laparoscopy, surgical, gastric restrictive procedure; with gastric bypass and small intestine reconstruction to limit absorption"
43647,"lap impl electrode, antrum","laparoscopy, surgical; implantation or replacement of gastric neurostimulator electrodes, antrum"
43648,lap revise/remv eltrd antrum,"laparoscopy, surgical; revision or removal of gastric neurostimulator electrodes, antrum"
43651,"laparoscopy, vagus nerve","laparoscopy, surgical; transection of vagus nerves, truncal"
43652,"laparoscopy, vagus nerve","laparoscopy, surgical; transection of vagus nerves, selective or highly selective"
43653,"laparoscopy, gastrostomy","laparoscopy, surgical; gastrostomy, without construction of gastric tube (eg, stamm procedure) (separate procedure)"
43659,"laparoscope proc, stom","unlisted laparoscopy procedure, stomach"
43750,place gastrostomy tube,percutaneous placement of gastrostomy tube
43752,nasal/orogastric w/stent,"naso- or oro-gastric tube placement, requiring physician's skill and fluoroscopic guidance (includes fluoroscopy, image documentation and report)"
43760,change gastrostomy tube,"change of gastrostomy tube, percutaneous, without imaging or endoscopic guidance"
43761,reposition gastrostomy tube,"repositioning of the gastric feeding tube, through the duodenum for enteric nutrition"
43770,"lap, place gastr adjust band","laparoscopy, surgical, gastric restrictive procedure; placement of adjustable gastric restrictive device (eg, gastric band and subcutaneous port components)"
43771,"lap, revise adjust gast band","laparoscopy, surgical, gastric restrictive procedure; revision of adjustable gastric restrictive device component only"
43772,"lap, remove adjust gast band","laparoscopy, surgical, gastric restrictive procedure; removal of adjustable gastric restrictive device component only"
43773,"lap, change adjust gast band","laparoscopy, surgical, gastric restrictive procedure; removal and replacement of adjustable gastric restrictive device component only"
43774,lap remov adj gast band/port,"laparoscopy, surgical, gastric restrictive procedure; removal of adjustable gastric restrictive device and subcutaneous port components"
43800,reconstruction of pylorus,pyloroplasty
43810,fusion of stomach and bowel,gastroduodenostomy
43820,fusion of stomach and bowel,gastrojejunostomy; without vagotomy
43825,fusion of stomach and bowel,"gastrojejunostomy; with vagotomy, any type"
43830,place gastrostomy tube,"gastrostomy, open; without construction of gastric tube (eg, stamm procedure) (separate procedure)"
43831,place gastrostomy tube,"gastrostomy, open; neonatal, for feeding"
43832,place gastrostomy tube,"gastrostomy, open; with construction of gastric tube (eg, janeway procedure)"
43840,repair of stomach lesion,"gastrorrhaphy, suture of perforated duodenal or gastric ulcer, wound, or injury"
43842,v-band gastroplasty,"gastric restrictive procedure, without gastric bypass, for morbid obesity; vertical-banded gastroplasty"
43843,gastroplasty w/o v-band,"gastric restrictive procedure, without gastric bypass, for morbid obesity; other than vertical-banded gastroplasty"
43845,gastroplasty duodenal switch,"gastric restrictive procedure with partial gastrectomy, pylorus-preserving duodenoileostomy and ileoileostomy (50 to 100 cm common channel) to limit absorption (biliopancreatic diversion with duodenal switch)"
43846,gastric bypass for obesity,"gastric restrictive procedure, with gastric bypass for morbid obesity; with short limb (150 cm or less) roux-en-y gastroenterostomy"
43847,gastric bypass incl small i,"gastric restrictive procedure, with gastric bypass for morbid obesity; with small intestine reconstruction to limit absorption"
43848,revision gastroplasty,"revision, open, of gastric restrictive procedure for morbid obesity, other than adjustable gastric restrictive device (separate procedure)"
43850,revise stomach-bowel fusion,revision of gastroduodenal anastomosis (gastroduodenostomy) with reconstruction; without vagotomy
43855,revise stomach-bowel fusion,revision of gastroduodenal anastomosis (gastroduodenostomy) with reconstruction; with vagotomy
43860,revise stomach-bowel fusion,"revision of gastrojejunal anastomosis (gastrojejunostomy) with reconstruction, with or without partial gastrectomy or intestine resection; without vagotomy"
43865,revise stomach-bowel fusion,"revision of gastrojejunal anastomosis (gastrojejunostomy) with reconstruction, with or without partial gastrectomy or intestine resection; with vagotomy"
43870,repair stomach opening,"closure of gastrostomy, surgical"
43880,repair stomach-bowel fistula,closure of gastrocolic fistula
43881,"impl/redo electrd, antrum","implantation or replacement of gastric neurostimulator electrodes, antrum, open"
43882,revise/remove electrd antrum,"revision or removal of gastric neurostimulator electrodes, antrum, open"
43886,"revise gastric port, open","gastric restrictive procedure, open; revision of subcutaneous port component only"
43887,"remove gastric port, open","gastric restrictive procedure, open; removal of subcutaneous port component only"
43888,"change gastric port, open","gastric restrictive procedure, open; removal and replacement of subcutaneous port component only"
43999,stomach surgery procedure,"unlisted procedure, stomach"
44,other operations on stomach,operations on the digestive system; other operations on stomach
44.0,vagotomy,operations on the digestive system; other operations on stomach; vagotomy
44.00,vagotomy nos,"operations on the digestive system; other operations on stomach; vagotomy; vagotomy, not otherwise specified"
44.01,truncal vagotomy,operations on the digestive system; other operations on stomach; vagotomy; truncal vagotomy
44.02,highly selective vagotomy,operations on the digestive system; other operations on stomach; vagotomy; highly selective vagotomy
44.03,selective vagotomy nec,operations on the digestive system; other operations on stomach; vagotomy; other selective vagotomy
44.1,diagnostic procedures on stomach,operations on the digestive system; other operations on stomach; diagnostic procedures on stomach
44.11,transabdominal gastroscopy,operations on the digestive system; other operations on stomach; diagnostic procedures on stomach; transabdominal gastroscopy
44.12,gastroscopy thru artificial stoma,operations on the digestive system; other operations on stomach; diagnostic procedures on stomach; gastroscopy through artificial stoma
44.13,gastroscopy nec,operations on the digestive system; other operations on stomach; diagnostic procedures on stomach; other gastroscopy
44.14,closed biopsy of stomach,operations on the digestive system; other operations on stomach; diagnostic procedures on stomach; closed [endoscopic] biopsy of stomach
44.15,open biopsy of stomach,operations on the digestive system; other operations on stomach; diagnostic procedures on stomach; open biopsy of stomach
44.19,stomach diagnostic procs nec,operations on the digestive system; other operations on stomach; diagnostic procedures on stomach; other diagnostic procedures on stomach
44.2,pyloroplasty,operations on the digestive system; other operations on stomach; pyloroplasty
44.21,pylorus dilation by incision,operations on the digestive system; other operations on stomach; pyloroplasty; dilation of pylorus by incision
44.22,endoscopic pylorus dilation,operations on the digestive system; other operations on stomach; pyloroplasty; endoscopic dilation of pylorus
44.29,pyloroplasty nec,operations on the digestive system; other operations on stomach; pyloroplasty; other pyloroplasty
44.3,gastroenterostomy w/o gastrectomy,operations on the digestive system; other operations on stomach; gastroenterostomy without gastrectomy
44.31,high gastric bypass,operations on the digestive system; other operations on stomach; gastroenterostomy without gastrectomy; high gastric bypass
44.32,percutaneous gastrojejunostomy,operations on the digestive system; other operations on stomach; gastroenterostomy without gastrectomy; percutaneous [endoscopic] gastrojejunostomy
44.38,laparoscopic gastroenterostomy,operations on the digestive system; other operations on stomach; gastroenterostomy without gastrectomy; laparoscopic gastroenterostomy
44.39,gastroenterostomy nec,operations on the digestive system; other operations on stomach; gastroenterostomy without gastrectomy; other gastroenterostomy
44.4,stomach ulcer hemorrhage control,operations on the digestive system; other operations on stomach; control of hemorrhage and suture of ulcer of stomach or duodenum
44.40,suture peptic ulcer nos,"operations on the digestive system; other operations on stomach; control of hemorrhage and suture of ulcer of stomach or duodenum; suture of peptic ulcer, not otherwise specified"
44.41,suture gastric ulcer site,operations on the digestive system; other operations on stomach; control of hemorrhage and suture of ulcer of stomach or duodenum; suture of gastric ulcer site
44.42,suture duodenal ulcer site,operations on the digestive system; other operations on stomach; control of hemorrhage and suture of ulcer of stomach or duodenum; suture of duodenal ulcer site
44.43,gastric bleeding endoscopic control,operations on the digestive system; other operations on stomach; control of hemorrhage and suture of ulcer of stomach or duodenum; endoscopic control of gastric or duodenal bleeding
44.44,transcatheter embolization,operations on the digestive system; other operations on stomach; control of hemorrhage and suture of ulcer of stomach or duodenum; transcatheter embolization for gastric or duodenal bleeding
44.49,stomach hemorrhage control nec,operations on the digestive system; other operations on stomach; control of hemorrhage and suture of ulcer of stomach or duodenum; other control of hemorrhage of stomach or duodenum
44.5,gastric anastomosis revision,operations on the digestive system; other operations on stomach; revision of gastric anastomosis
44.6,repair of stomach,operations on the digestive system; other operations on stomach; other repair of stomach
44.61,suture stomach laceration,operations on the digestive system; other operations on stomach; other repair of stomach; suture of laceration of stomach
44.62,closure of gastrostomy,operations on the digestive system; other operations on stomach; other repair of stomach; closure of gastrostomy
44.63,gastric fistula closure nec,operations on the digestive system; other operations on stomach; other repair of stomach; closure of other gastric fistula
44.64,gastropexy,operations on the digestive system; other operations on stomach; other repair of stomach; gastropexy
44.65,esophagogastroplasty,operations on the digestive system; other operations on stomach; other repair of stomach; esophagogastroplasty
44.66,create esophagogastric competence,operations on the digestive system; other operations on stomach; other repair of stomach; other procedures for creation of esophagogastric sphincteric competence
44.67,create esphgogst/sphinc cmptnc lprs,operations on the digestive system; other operations on stomach; other repair of stomach; laparoscopic procedures for creation of esophagogastric sphincteric competence
44.68,laparoscopic gastroplasty,operations on the digestive system; other operations on stomach; other repair of stomach; laparoscopic gastroplasty
44.69,stomach repair nec,operations on the digestive system; other operations on stomach; other repair of stomach; other
44.9,operation on stomach,operations on the digestive system; other operations on stomach
44.91,ligation of gastric varices,operations on the digestive system; other operations on stomach; ligation of gastric varices
44.92,intraoperative stomach manipulation,operations on the digestive system; other operations on stomach; intraoperative manipulation of stomach
44.93,gastric bubble insertion,operations on the digestive system; other operations on stomach; insertion of gastric bubble (balloon)
44.94,gastric bubble removal,operations on the digestive system; other operations on stomach; removal of gastric bubble (balloon)
44.95,"gastric restrctv prcd, laparoscopic",operations on the digestive system; other operations on stomach; laparoscopic gastric restrictive procedure
44.96,"rev gastric restrctv prcd, laprscpc",operations on the digestive system; other operations on stomach; laparoscopic revision of gastric restrictive procedure
44.97,"rmv gastric restrctv dvc, laprscpc",operations on the digestive system; other operations on stomach; laparoscopic removal of gastric restrictive device(s)
44.98,adjust size gastric restrctv device,operations on the digestive system; other operations on stomach; (laparoscopic) adjustment of size of adjustable gastric restrictive device
44.99,stomach operations nec,operations on the digestive system; other operations on stomach; other
44005,freeing of bowel adhesion,enterolysis (freeing of intestinal adhesion) (separate procedure)
44010,incision of small bowel,"duodenotomy, for exploration, biopsy(s), or foreign body removal"
44015,insert needle cath bowel,"tube or needle catheter jejunostomy for enteral alimentation, intraoperative, any method (list separately in addition to primary procedure)"
44020,explore small intestine,"enterotomy, small intestine, other than duodenum; for exploration, biopsy(s), or foreign body removal"
44021,decompress small bowel,"enterotomy, small intestine, other than duodenum; for decompression (eg, baker tube)"
44025,incision of large bowel,"colotomy, for exploration, biopsy(s), or foreign body removal"
44050,reduce bowel obstruction,"reduction of volvulus, intussusception, internal hernia, by laparotomy"
44055,correct malrotation of bowel,"correction of malrotation by lysis of duodenal bands and/or reduction of midgut volvulus (eg, ladd procedure)"
44100,biopsy of bowel,"biopsy of intestine by capsule, tube, peroral (one or more specimens)"
44110,excise intestine lesion(s),"excision of one or more lesions of small or large intestine not requiring anastomosis, exteriorization, or fistulization; single enterotomy"
44111,excision of bowel lesion(s),"excision of one or more lesions of small or large intestine not requiring anastomosis, exteriorization, or fistulization; multiple enterotomies"
44120,removal of small intestine,"enterectomy, resection of small intestine; single resection and anastomosis"
44121,removal of small intestine,"enterectomy, resection of small intestine; each additional resection and anastomosis (list separately in addition to code for primary procedure)"
44125,removal of small intestine,"enterectomy, resection of small intestine; with enterostomy"
44126,"enterectomy w/o taper, cong","enterectomy, resection of small intestine for congenital atresia, single resection and anastomosis of proximal segment of intestine; without tapering"
44127,"enterectomy w/taper, cong","enterectomy, resection of small intestine for congenital atresia, single resection and anastomosis of proximal segment of intestine; with tapering"
44128,"enterectomy cong, add-on","enterectomy, resection of small intestine for congenital atresia, single resection and anastomosis of proximal segment of intestine; each additional resection and anastomosis (list separately in addition to code for primary procedure)"
44130,bowel to bowel fusion,"enteroenterostomy, anastomosis of intestine, with or without cutaneous enterostomy (separate procedure)"
44132,"enterectomy, cadaver donor","donor enterectomy (including cold preservation), open; from cadaver donor"
44133,"enterectomy, live donor","donor enterectomy (including cold preservation), open; partial, from living donor"
44135,"intestine transplnt, cadaver",intestinal allotransplantation; from cadaver donor
44136,"intestine transplant, live",intestinal allotransplantation; from living donor
44137,remove intestinal allograft,"removal of transplanted intestinal allograft, complete"
44139,mobilization of colon,mobilization (take-down) of splenic flexure performed in conjunction with partial colectomy (list separately in addition to primary procedure)
44140,partial removal of colon,"colectomy, partial; with anastomosis"
44141,partial removal of colon,"colectomy, partial; with skin level cecostomy or colostomy"
44143,partial removal of colon,"colectomy, partial; with end colostomy and closure of distal segment (hartmann type procedure)"
44144,partial removal of colon,"colectomy, partial; with resection, with colostomy or ileostomy and creation of mucofistula"
44145,partial removal of colon,"colectomy, partial; with coloproctostomy (low pelvic anastomosis)"
44146,partial removal of colon,"colectomy, partial; with coloproctostomy (low pelvic anastomosis), with colostomy"
44147,partial removal of colon,"colectomy, partial; abdominal and transanal approach"
44150,removal of colon,"colectomy, total, abdominal, without proctectomy; with ileostomy or ileoproctostomy"
44151,removal of colon/ileostomy,"colectomy, total, abdominal, without proctectomy; with continent ileostomy"
44152,removal of colon/ileostomy,"colectomy, total, abdominal, without proctectomy; with rectal mucosectomy, ileoanal anastomosis, with or without loop ileostomy"
44153,removal of colon/ileostomy,"colectomy, total, abdominal, without proctectomy; with rectal mucosectomy, ileoanal anastomosis, creation of ileal reservoir (s or j), with or without loop ileostomy"
44155,removal of colon/ileostomy,"colectomy, total, abdominal, with proctectomy; with ileostomy"
44156,removal of colon/ileostomy,"colectomy, total, abdominal, with proctectomy; with continent ileostomy"
44157,colectomy w/ileoanal anast,"colectomy, total, abdominal, with proctectomy; with ileoanal anastomosis, includes loop ileostomy, and rectal mucosectomy, when performed"
44158,colectomy w/neo-rectum pouch,"colectomy, total, abdominal, with proctectomy; with ileoanal anastomosis, creation of ileal reservoir (s or j), includes loop ileostomy, and rectal mucosectomy, when performed"
44160,removal of colon,"colectomy, partial, with removal of terminal ileum with ileocolostomy"
44180,"lap, enterolysis","laparoscopy, surgical, enterolysis (freeing of intestinal adhesion) (separate procedure)"
44186,"lap, jejunostomy","laparoscopy, surgical; jejunostomy (eg, for decompression or feeding)"
44187,"lap, ileo/jejuno-stomy","laparoscopy, surgical; ileostomy or jejunostomy, non-tube"
44188,"lap, colostomy","laparoscopy, surgical, colostomy or skin level cecostomy"
44200,"laparoscopy, enterolysis","laparoscopy, surgical; enterolysis (freeing of intestinal adhesion) (separate procedure)"
44201,"laparoscopy, jejunostomy","laparoscopy, surgical; jejunostomy (eg, for decompression or feeding)"
44202,"lap, enterectomy","laparoscopy, surgical; enterectomy, resection of small intestine, single resection and anastomosis"
44203,"lap resect s/intestine, addl","laparoscopy, surgical; each additional small intestine resection and anastomosis (list separately in addition to code for primary procedure)"
44204,laparo partial colectomy,"laparoscopy, surgical; colectomy, partial, with anastomosis"
44205,lap colectomy part w/ileum,"laparoscopy, surgical; colectomy, partial, with removal of terminal ileum with ileocolostomy"
44206,lap part colectomy w/stoma,"laparoscopy, surgical; colectomy, partial, with end colostomy and closure of distal segment (hartmann type procedure)"
44207,l colectomy/coloproctostomy,"laparoscopy, surgical; colectomy, partial, with anastomosis, with coloproctostomy (low pelvic anastomosis)"
44208,l colectomy/coloproctostomy,"laparoscopy, surgical; colectomy, partial, with anastomosis, with coloproctostomy (low pelvic anastomosis) with colostomy"
44209,laparoscopy unlstd proced intestine,"unlisted laparoscopy procedure, intestine (except rectum)"
44210,laparo total proctocolectomy,"laparoscopy, surgical; colectomy, total, abdominal, without proctectomy, with ileostomy or ileoproctostomy"
44211,lap colectomy w/proctectomy,"laparoscopy, surgical; colectomy, total, abdominal, with proctectomy, with ileoanal anastomosis, creation of ileal reservoir (s or j), with loop ileostomy, includes rectal mucosectomy, when performed"
44212,laparo total proctocolectomy,"laparoscopy, surgical; colectomy, total, abdominal, with proctectomy, with ileostomy"
44213,"lap, mobil splenic fl add-on","laparoscopy, surgical, mobilization (take-down) of splenic flexure performed in conjunction with partial colectomy (list separately in addition to primary procedure)"
44227,"lap, close enterostomy","laparoscopy, surgical, closure of enterostomy, large or small intestine, with resection and anastomosis"
44238,"laparoscope proc, intestine","unlisted laparoscopy procedure, intestine (except rectum)"
44239,"unlisted laparscopy proe, rectum","unlisted laparoscopy procedure, rectum"
44300,open bowel to skin,"placement, enterostomy or cecostomy, tube open (eg, for feeding or decompression) (separate procedure)"
44310,ileostomy/jejunostomy,"ileostomy or jejunostomy, non-tube"
44312,revision of ileostomy,revision of ileostomy; simple (release of superficial scar) (separate procedure)
44314,revision of ileostomy,revision of ileostomy; complicated (reconstruction in-depth) (separate procedure)
44316,devise bowel pouch,continent ileostomy (kock procedure) (separate procedure)
44320,colostomy,colostomy or skin level cecostomy;
44322,colostomy with biopsies,"colostomy or skin level cecostomy; with multiple biopsies (eg, for congenital megacolon) (separate procedure)"
44340,revision of colostomy,revision of colostomy; simple (release of superficial scar) (separate procedure)
44345,revision of colostomy,revision of colostomy; complicated (reconstruction in-depth) (separate procedure)
44346,revision of colostomy,revision of colostomy; with repair of paracolostomy hernia (separate procedure)
44360,small bowel endoscopy,"small intestinal endoscopy, enteroscopy beyond second portion of duodenum, not including ileum; diagnostic, with or without collection of specimen(s) by brushing or washing (separate procedure)"
44361,small bowel endoscopy/biopsy,"small intestinal endoscopy, enteroscopy beyond second portion of duodenum, not including ileum; with biopsy, single or multiple"
44363,small bowel endoscopy,"small intestinal endoscopy, enteroscopy beyond second portion of duodenum, not including ileum; with removal of foreign body"
44364,small bowel endoscopy,"small intestinal endoscopy, enteroscopy beyond second portion of duodenum, not including ileum; with removal of tumor(s), polyp(s), or other lesion(s) by snare technique"
44365,small bowel endoscopy,"small intestinal endoscopy, enteroscopy beyond second portion of duodenum, not including ileum; with removal of tumor(s), polyp(s), or other lesion(s) by hot biopsy forceps or bipolar cautery"
44366,small bowel endoscopy,"small intestinal endoscopy, enteroscopy beyond second portion of duodenum, not including ileum; with control of bleeding (eg, injection, bipolar cautery, unipolar cautery, laser, heater probe, stapler, plasma coagulator)"
44369,small bowel endoscopy,"small intestinal endoscopy, enteroscopy beyond second portion of duodenum, not including ileum; with ablation of tumor(s), polyp(s), or other lesion(s) not amenable to removal by hot biopsy forceps, bipolar cautery or snare technique"
44370,small bowel endoscopy/stent,"small intestinal endoscopy, enteroscopy beyond second portion of duodenum, not including ileum; with transendoscopic stent placement (includes predilation)"
44372,small bowel endoscopy,"small intestinal endoscopy, enteroscopy beyond second portion of duodenum, not including ileum; with placement of percutaneous jejunostomy tube"
44373,small bowel endoscopy,"small intestinal endoscopy, enteroscopy beyond second portion of duodenum, not including ileum; with conversion of percutaneous gastrostomy tube to percutaneous jejunostomy tube"
44376,small bowel endoscopy,"small intestinal endoscopy, enteroscopy beyond second portion of duodenum, including ileum; diagnostic, with or without collection of specimen(s) by brushing or washing (separate procedure)"
44377,small bowel endoscopy/biopsy,"small intestinal endoscopy, enteroscopy beyond second portion of duodenum, including ileum; with biopsy, single or multiple"
44378,small bowel endoscopy,"small intestinal endoscopy, enteroscopy beyond second portion of duodenum, including ileum; with control of bleeding (eg, injection, bipolar cautery, unipolar cautery, laser, heater probe, stapler, plasma coagulator)"
44379,s bowel endoscope w/stent,"small intestinal endoscopy, enteroscopy beyond second portion of duodenum, including ileum; with transendoscopic stent placement (includes predilation)"
44380,small bowel endoscopy,"ileoscopy, through stoma; diagnostic, with or without collection of specimen(s) by brushing or washing (separate procedure)"
44382,small bowel endoscopy,"ileoscopy, through stoma; with biopsy, single or multiple"
44383,ileoscopy w/stent,"ileoscopy, through stoma; with transendoscopic stent placement (includes predilation)"
44385,endoscopy of bowel pouch,"endoscopic evaluation of small intestinal (abdominal or pelvic) pouch; diagnostic, with or without collection of specimen(s) by brushing or washing (separate procedure)"
44386,"endoscopy, bowel pouch/biop","endoscopic evaluation of small intestinal (abdominal or pelvic) pouch; with biopsy, single or multiple"
44388,colonoscopy,"colonoscopy through stoma; diagnostic, with or without collection of specimen(s) by brushing or washing (separate procedure)"
44389,colonoscopy with biopsy,"colonoscopy through stoma; with biopsy, single or multiple"
44390,colonoscopy for foreign body,colonoscopy through stoma; with removal of foreign body
44391,colonoscopy for bleeding,"colonoscopy through stoma; with control of bleeding (eg, injection, bipolar cautery, unipolar cautery, laser, heater probe, stapler, plasma coagulator)"
44392,colonoscopy & polypectomy,"colonoscopy through stoma; with removal of tumor(s), polyp(s), or other lesion(s) by hot biopsy forceps or bipolar cautery"
44393,"colonoscopy, lesion removal","colonoscopy through stoma; with ablation of tumor(s), polyp(s), or other lesion(s) not amenable to removal by hot biopsy forceps, bipolar cautery or snare technique"
44394,colonoscopy w/snare,"colonoscopy through stoma; with removal of tumor(s), polyp(s), or other lesion(s) by snare technique"
44397,colonoscopy w/stent,colonoscopy through stoma; with transendoscopic stent placement (includes predilation)
44500,"intro, gastrointestinal tube","introduction of long gastrointestinal tube (eg, miller-abbott) (separate procedure)"
44602,"suture, small intestine","suture of small intestine (enterorrhaphy) for perforated ulcer, diverticulum, wound, injury or rupture; single perforation"
44603,"suture, small intestine","suture of small intestine (enterorrhaphy) for perforated ulcer, diverticulum, wound, injury or rupture; multiple perforations"
44604,"suture, large intestine","suture of large intestine (colorrhaphy) for perforated ulcer, diverticulum, wound, injury or rupture (single or multiple perforations); without colostomy"
44605,repair of bowel lesion,"suture of large intestine (colorrhaphy) for perforated ulcer, diverticulum, wound, injury or rupture (single or multiple perforations); with colostomy"
44615,intestinal stricturoplasty,"intestinal stricturoplasty (enterotomy and enterorrhaphy) with or without dilation, for intestinal obstruction"
44620,repair bowel opening,"closure of enterostomy, large or small intestine;"
44625,repair bowel opening,"closure of enterostomy, large or small intestine; with resection and anastomosis other than colorectal"
44626,repair bowel opening,"closure of enterostomy, large or small intestine; with resection and colorectal anastomosis (eg, closure of hartmann type procedure)"
